,Year,Coach1,Balance1,Coach2,Balance2,Coach3,Balance3,Coach4,Balance4,Coach1Wins,Coach1Lose,Coach2Wins,Coach2Lose,Coach3Wins,Coach3Lose,Coach4Wins,Coach4Lose,Total1,Total2,Total3,Total4,Precentage1,Precentage2,Precentage3,Precentage4
59,1965,Red Auerbach,62-18,nan,nan,nan,nan,nan,nan,62.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,77,,,
60,1964,Red Auerbach,59-21,nan,nan,nan,nan,nan,nan,59.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,73,,,
61,1963,Red Auerbach,58-22,nan,nan,nan,nan,nan,nan,58.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,72,,,
62,1962,Red Auerbach,60-20,nan,nan,nan,nan,nan,nan,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,75,,,
63,1961,Red Auerbach,57-22,nan,nan,nan,nan,nan,nan,57.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0,0,0,72,,,
64,1960,Red Auerbach,59-16,nan,nan,nan,nan,nan,nan,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0,78,,,
65,1959,Red Auerbach,52-20,nan,nan,nan,nan,nan,nan,52.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,72,,,
66,1958,Red Auerbach,49-23,nan,nan,nan,nan,nan,nan,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,68,,,
67,1957,Red Auerbach,44-28,nan,nan,nan,nan,nan,nan,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,61,,,
68,1956,Red Auerbach,39-33,nan,nan,nan,nan,nan,nan,39.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,54,,,
69,1955,Red Auerbach,36-36,nan,nan,nan,nan,nan,nan,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,50,,,
70,1954,Red Auerbach,42-30,nan,nan,nan,nan,nan,nan,42.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,58,,,
71,1953,Red Auerbach,46-25,nan,nan,nan,nan,nan,nan,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0,0,64,,,
72,1952,Red Auerbach,39-27,nan,nan,nan,nan,nan,nan,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0,0,59,,,
73,1951,Red Auerbach,39-30,nan,nan,nan,nan,nan,nan,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,0,56,,,
74,1950,Alvin Julian,22-46,nan,nan,nan,nan,nan,nan,22.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0,0,32,,,
75,1949,Alvin Julian,25-35,nan,nan,nan,nan,nan,nan,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,41,,,
76,1948,John Russell,20-28,nan,nan,nan,nan,nan,nan,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,0,41,,,
77,1947,John Russell,22-38,nan,nan,nan,nan,nan,nan,22.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,36,,,
1,2019,James Borrego,39-43,nan,nan,nan,nan,nan,nan,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,47,,,
2,2018,Steve Clifford,36-46,nan,nan,nan,nan,nan,nan,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,43,,,
3,2017,Steve Clifford,36-46,nan,nan,nan,nan,nan,nan,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,43,,,
4,2016,Steve Clifford,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
5,2015,Steve Clifford,33-49,nan,nan,nan,nan,nan,nan,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,40,,,
6,2014,Steve Clifford,43-39,nan,nan,nan,nan,nan,nan,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,52,,,
